日付,国内株式,先進国株式,全世界株式,米国株式,バランス
2017-07-25,8437.36299126637,10569,9612.52386030392,0.0,10187
2017-07-26,8477.50782387191,10662,9689.06869279303,0.0,10211
2017-07-27,8490.24608806405,10605,9640.28623478184,0.0,10205
2017-07-28,8439.67903930131,10598,9638.6998133831,0.0,10218
2017-07-31,8425.01073508006,10508,9551.84324180219,0.0,10171
2017-08-01,8450.48726346434,10509,9556.20590064872,0.0,10184
2017-08-02,8490.24608806405,10558,9599.83248911401,0.0,10201
2017-08-03,8468.62963973799,10589,9629.97449569004,0.0,10226
2017-08-04,8435.81895924309,10512,9553.42966320093,0.0,10176
2017-08-07,8479.43786390102,10590,9625.61183684351,0.0,10205
2017-08-08,8453.96133551674,10610,9652.18439527237,0.0,10226
2017-08-09,8345.49308588064,10512,9566.12103439083,0.0,10155
2017-08-10,8341.63300582242,10508,9555.80929529903,0.0,10145
2017-08-14,8260.18531659389,10296,9351.16093486182,0.0,10021
2017-08-15,8350.51118995633,10461,9502.26757309162,0.0,10121
2017-08-16,8340.47498180495,10497,9535.9790278148,0.0,10145
2017-08-17,8329.2807496361,10476,9521.70123522616,0.0,10142
2017-08-18,8230.84870815138,10296,9370.19799164667,0.0,10077
2017-08-21,8198.4240356623,10257,9338.86616902159,0.0,10061
2017-08-22,8194.17794759825,10249,9332.12387807696,0.0,10073
2017-08-23,8215.79439592431,10381,9454.27832577979,0.0,10122
2017-08-24,8181.43968340611,10309,9395.97733937617,0.0,10099
2017-08-25,8223.51455604076,10362,9451.10548298232,0.0,10133
2017-08-28,8221.58451601164,10333,9424.53292455345,0.0,10135
2017-08-29,8190.31786754003,10303,9393.99431262775,0.0,10104
2017-08-30,8250.92112445415,10385,9468.55611836843,0.0,10172
2017-08-31,8310.3663573508,10467,9546.2907669066,8935.88963278556,10221
2017-09-01,8328.89474163028,10520,9587.14111792411,8940.35757760195,10227
2017-09-04,8250.92112445415,10514,9580.39882697947,8931.42168796916,10204
2017-09-05,8199.96806768559,10482,9546.2907669066,8918.01785351998,10165
2017-09-06,8187.22980349345,10340,9422.15329245535,8769.68208561575,10112
2017-09-07,8203.44213973799,10415,9488.78299120235,8841.16920267803,10171
2017-09-08,8152.48908296943,10378,9458.64098462632,8777.72438628525,10158
2017-09-11,8266.36144468704,10369,9450.31227228295,8767.00131872591,10163
2017-09-12,8364.02147016012,10566,9627.99146894162,8949.29346723473,10255
2017-09-13,8401.85025473071,10671,9721.98693681685,9029.7164739298,10297
2017-09-14,8377.5317503639,10704,9749.74931129477,9077.07668898357,10303
2017-09-15,8420.76464701601,10666,9716.83106727095,9035.97159667275,10304
2017-09-19,8585.97607350801,10823,9868.33431085044,9169.11635220126,10410
2017-09-20,8590.60816957787,10856,9892.92384253088,9192.3496652465,10416
2017-09-21,8606.43449781659,10926,9959.1569359282,9270.98549401502,10447
2017-09-22,8584.81804949054,10892,9927.82511330312,9220.94451207142,10420
2017-09-25,8627.278930131,10931,9954.79427708167,9246.85859200649,10438
2017-09-26,8598.32832969432,10801,9822.72469563672,9148.56380604585,10351
2017-09-27,8627.66493813683,10862,9872.30036434729,9217.3701562183,10378
2017-09-28,8667.80977074236,10948,9944.08593264019,9299.58034083993,10384
2017-09-29,8664.33569868996,10951,9939.32666844397,9294.21880706026,10386
2017-10-02,8683.25009097526,10998,9987.3159157558,9332.64313248123,10413
2017-10-03,8773.96197234352,11045,10027.7696614236,9384.47129235139,10424
2017-10-04,8779.36608442504,11043,10039.2712165645,9375.5354027186,10424
2017-10-05,8780.13810043668,11059,10059.1014840487,9405.91742747008,10447
2017-10-06,8806.38664483261,11102,10093.2095441216,9468.46865489957,10444
2017-10-10,8862.74381368268,11076,10070.2064338399,9431.83150740515,10425
2017-10-11,8887.06231804949,11070,10072.1894605883,9415.74690606614,10431
2017-10-12,8918.32896652111,11113,10115.4194437039,9443.44816392777,10463
2017-10-13,9004.02274381368,11087,10096.7789922687,9415.74690606614,10466
2017-10-16,9046.48362445415,11074,10089.6400959744,9406.81101643335,10484
2017-10-17,9080.83833697234,11091,10109.8669688083,9435.40586325827,10495
2017-10-18,9091.64656113537,11089,10103.5212832134,9438.98021911138,10491
2017-10-19,9128.70332969432,11192,10193.1540922421,9512.25451410022,10554
2017-10-20,9131.7913937409,11162,10156.2697947214,9497.95709068777,10526
2017-10-23,9234.85553129549,11294,10275.6480049765,9641.82491377561,10577
2017-10-24,9280.40447598253,11215,10203.0692259842,9559.61472915399,10546
2017-10-25,9239.10161935953,11266,10246.2992090998,9621.27236762021,10545
